stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
3300,China Glass Holdings Limited,12.01411,0.33457,0.36975,0.61809,0.05584,-99999.99,4.00066,65.31592,0.29998,3.06868,11.61804,0.46196,9.27836,-3.42347,2.26495,1.02669,1.18365,11.95288,158.2345
3301,Ronshine China Holdings Ltd,24.24129,0.24644,20.71914,1.51487,2.13993,-99999.99,0.31382,271.1541,-99999.99,11.4526,19.71284,0.54204,61.86657,1.91093,10.09412,2.82235,10.95543,29.78473,387.3731
3302,Kinergy Corporation Ltd,12.54436,0.60847,0.24024,4.54514,-0.01085,0.03938,2.18996,2.18921,-4.87736,-2.41334,-2.60115,3.11684,4.31386,0.79059,-1.75053,-1.46844,0.59319,-99999.99,3.33791
3303,Jutal Offshore Oil Services Limited,18.19207,0.43103,0.5669,1.63074,0.00311,-99999.99,10.47818,19.99886,1.29132,0.25127,2.75982,1.5035,1.63937,1.57029,0.16851,0.10831,1.46565,26.03484,34.04042
3306,JNBY Design Ltd,59.67724,1.21091,1.86909,1.67581,0.78066,0.74516,1.41709,4.70905,-99999.99,11.18586,15.64819,0.95642,29.12397,13.54511,23.10069,13.54511,3.25254,24.09527,25.20406
3308,Golden Eagle Retail Group Limited,58.70826,0.26069,3.88512,1.05061,0.80896,-99999.99,0.96533,94.85465,5.5364,19.06827,38.316,0.76774,44.22423,3.67687,8.39541,4.97086,4.65861,4.15813,99.00179
3309,C-Mer Eye Care Holdings Ltd,33.2034,0.57434,0.50971,4.47836,0.0396,-99999.99,33.01776,14.9914,-99999.99,6.78955,10.57533,4.36928,65.90141,-1.27603,4.29764,3.89953,0.71547,31.36592,20.0388
3311,China State Construction Intrnl Hold Ltd,14.97608,0.41452,4.4864,1.06179,1.0721,-1.30897,14.71397,76.74461,21.09962,9.28103,13.2815,1.00853,1.59931,3.71386,6.69083,3.84719,8.95704,27.8952,101.591
3313,Artgo Holdings Ltd,18.79236,0.11423,0.03077,1.21312,-0.03402,-99999.99,5.34446,15.73735,-0.32089,-31.65682,-6.23258,1.13849,1.21765,-6.30095,-4.61666,-3.61629,0.3826,30.92722,28.2653
3315,Goldpac Group Ltd,28.15186,0.5379,1.85784,3.21785,0.24572,-0.01362,5.12888,0.47254,-99999.99,12.4622,14.67621,2.90879,3.68445,6.8461,8.73424,6.70341,2.7452,-99999.99,0.87742
3316,Binjiang Service Group Co Ltd,28.07337,0.79998,3.91886,2.27682,0.50463,0.7287,29.82336,0.10556,-99999.99,16.37343,19.87975,2.20674,37.44731,13.89422,25.42629,13.09849,2.9927,-99999.99,0.41395
3318,China Boton Group Co Ltd,46.52741,0.31365,0.62877,1.03332,0.1539,0.05427,4.70832,35.3129,3.25941,9.9634,18.19406,0.87605,3.589,3.10115,4.2709,3.12506,0.87342,119.5237,58.7891
3319,A-Living Services Co Ltd,36.7223,0.61463,3.99441,2.54802,1.05782,-99999.99,235.4963,0.30277,-99999.99,25.19045,32.92488,2.54343,4.87026,14.83634,21.77125,15.48289,3.81219,-43.08343,0.75652
3320,China Resources Pharmaceutical Group Ltd,16.63832,1.1166,6.19418,1.24628,0.52294,-99999.99,7.77177,26.71591,2.78487,2.49338,4.99455,1.03692,4.22392,2.05028,9.60464,2.78409,2.43644,1.89713,101.361
3321,Wai Hung Group Holdings Ltd,21.13535,1.63728,0.05692,4.84316,0.07975,-0.30911,-99999.99,0.03801,144.1909,10.54154,13.00008,-99999.99,2.649,-99999.99,23.91975,17.25943,0.5057,-99999.99,4.19311
3322,Win Hanverky Holdings Limited,28.4489,1.31028,0.37887,1.43002,0.05,0.19704,3.31432,17.3124,3.0148,1.45467,3.22621,0.74549,8.73593,-4.22839,3.10221,1.90602,1.48577,66.07005,66.1814
3323,China National Building Material Co Ltd,30.22452,0.57394,4.21384,0.79226,1.49098,4.85493,8.89716,89.92565,8.36595,7.27257,13.31593,0.69132,2.54062,4.24666,9.7268,4.17398,7.07008,-0.02117,187.7864
3326,Perfect Group International Holdings Ltd,37.39347,0.73101,0.12873,1.63408,0.12668,-99999.99,0.93376,1.32797,-99999.99,23.20241,34.28628,0.63301,7.97539,16.72962,30.53456,16.96129,0.41433,-11.85818,11.58776
3328,"Bank of Communications Co., Ltd.",-99999.99,-99999.99,21.73325,-99999.99,1.15133,-0.43662,-99999.99,51.71933,-99999.99,32.9363,37.21378,-99999.99,-99999.99,0.69964,-99999.99,0.80324,12.21314,25.9293,51.71933
