stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
6030,CITIC Securities Co Ltd,84.46009,0.07901,44.57251,1.36678,1.15654,-5.63011,-99999.99,56.24566,2.88644,22.15869,28.36929,-99999.99,2.72651,1.78994,4.82724,1.75082,14.2372,7.20178,202.0089
6033,Telecom Digital Holdings Ltd,47.6513,1.66448,0.10313,0.76674,0.19864,0.29108,7.10167,5.70588,-99999.99,7.59851,8.73616,0.53802,33.86513,12.64755,22.35799,12.64755,0.88477,-8.38192,58.06047
6036,Apex Ace Holding Ltd,7.94168,2.02624,0.21181,1.27635,-0.01699,-99999.99,20.63067,0.27291,0.53953,-0.47046,-0.05824,1.13579,3.89388,-0.55729,-3.01937,-0.95326,0.29387,49.27934,118.782
6038,G & M Holdings Ltd,23.16951,1.00852,0.12847,4.53008,0.02637,-99999.99,257.1792,0.5185,99.2243,8.79582,10.54858,4.51735,2.09528,8.17661,11.77637,8.8708,0.22758,-17.47001,2.00238
6049,Poly Property Services Co Ltd,20.29084,1.17881,13.9851,3.01301,1.3888,1.19808,84.74222,0.24235,-99999.99,8.43298,11.22957,2.99392,20.30627,10.06912,17.47525,9.94087,10.6571,-99999.99,0.29463
6055,China Tobacco International HK Co Ltd,4.66571,3.58479,2.51269,2.28041,0.52703,0.10118,13.42144,1.5159,-99999.99,3.55271,4.23694,2.08896,14.59559,11.60692,28.94158,12.73573,2.31818,-99999.99,1.98653
6058,China Industrial Securt Intnl Fn Grp Ltd,94.22569,0.05295,4.28629,1.47954,-0.11546,-0.00123,-99999.99,96.07392,-0.09998,-36.61009,3.13243,-99999.99,0.20266,-3.35239,-5.81538,-1.93861,0.95819,66.10721,324.8993
6060,ZhongAn Online P & C Insurance Co Ltd,-99999.99,0.52836,2.27261,-99999.99,-0.35405,1.08237,-99999.99,2.67151,-1.69739,-4.22274,-3.01373,-99999.99,-99999.99,-0.92909,-99999.99,-2.23113,11.24203,-99999.99,2.83139
6063,Lotus Horizon Holdings Ltd,29.14649,2.12462,0.00931,1.94994,0.02277,0.00593,-99999.99,2.24367,40.32667,14.03063,18.42204,-99999.99,2.78972,-99999.99,73.79371,29.80979,0.04151,-99999.99,60.13909
6066,China Securities Co Ltd,94.77435,0.08022,27.99344,1.40072,0.76888,-1.4362,-99999.99,61.62418,2.52921,28.67744,37.13963,-99999.99,10.78151,2.77842,6.22372,2.30042,8.44466,18.62551,209.236
6068,Wisdom Educaton Internatinl Hldgs Co Ltd,44.10828,0.28639,0.54549,0.6433,0.19672,-0.15408,161.0549,71.27522,5.84334,21.02716,29.50515,0.6408,-99999.99,6.72604,9.46897,6.02196,1.11131,15.83541,122.5451
6069,Sheng Ye Capital Ltd,-99999.99,0.15815,0.49705,2.16316,0.36542,0.22981,-99999.99,0.67488,4.60382,48.64727,77.0314,-99999.99,0.18133,8.14793,13.47955,7.69381,2.95378,-99999.99,83.32131
6078,Hygeia Healthcare Holdings Co Ltd,30.40266,0.51759,0.93924,0.39,0.09494,-99999.99,17.1687,-99999.99,2.20648,3.66237,16.04373,0.36257,6.19859,-99999.99,3.85632,1.89562,-1.40456,-99999.99,-99999.99
6080,Wing Chi Holdings Ltd,2.22697,1.5409,0.0447,4.2314,-0.0147,-0.00766,-99999.99,0.43066,-88.08,-4.20278,-4.03463,-99999.99,2.83268,-6.47606,-8.07093,-6.47606,0.17059,-22.14862,2.63356
6083,World-Link Logistics Asia Holding Ltd,93.95292,1.24741,0.09648,1.79397,0.04613,0.11395,3.63919,25.00412,12.89359,11.42006,14.51056,1.6973,3.63031,13.36958,19.50727,14.24554,0.22088,-99999.99,61.46431
