stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
6805,Kimou Environmental Holding Ltd,71.26445,0.26136,0.10569,0.31327,0.06517,-99999.99,44.08942,73.93071,2.13326,6.53944,19.031,0.30919,7.11239,3.05889,3.28895,1.70917,0.89617,-99999.99,102.8291
6808,Sun Art Retail Group Ltd,26.98386,1.352,1.59372,0.91345,0.34043,0.60508,4.32567,31.39394,26.52273,3.19326,5.1281,0.44717,239.8918,5.21647,9.65028,4.31728,2.85914,55.31529,35.81191
6811,Tai Hing Group Holdings Ltd,71.32619,1.35399,0.71108,0.81402,0.08652,-99999.99,13.95481,129.4104,4.64102,2.37273,5.27419,0.74621,150.5567,1.03948,4.93037,3.21264,0.96555,-99999.99,200.5455
6812,Winson Holdings Hong Kong Ltd,14.69646,2.85252,0.06745,2.9325,0.0345,-99999.99,1897.867,0.33735,73.44875,3.63474,4.65588,2.92567,4.76618,10.36816,14.5489,10.36816,0.22479,-33.33245,6.82642
6816,Prosper Construction Holdings Ltd,9.67739,0.58941,0.43064,1.74998,0.01511,-99999.99,-99999.99,0.02843,1.65622,2.34683,2.95703,-99999.99,1.64082,1.05786,2.32813,1.38324,0.64625,50.90722,46.15766
6818,China Everbright Bank Co Ltd,-99999.99,-99999.99,9.95212,-99999.99,0.78388,4.54294,-99999.99,32.99713,-99999.99,27.22408,32.83889,-99999.99,-99999.99,0.70506,-99999.99,0.82372,8.34123,24.48934,111.966
6819,IntelliCentrics Global Holdings Ltd,93.69527,0.42861,1.01309,1.53445,-0.0937,-0.02068,-99999.99,0.0,1.75806,-14.68795,-3.56114,-99999.99,116.7767,-99999.99,-12.66095,-6.29547,0.50686,-99999.99,56.12389
6820,FriendTimes Inc,65.2483,1.50327,0.54611,6.46531,0.2448,-99999.99,-99999.99,0.0,90.56912,24.60121,26.4497,-99999.99,11.7283,-99999.99,43.67156,36.9823,0.67922,-99999.99,0.19849
6822,King's Flair International(Holdings)Ltd,20.28814,1.44369,0.74952,3.21048,0.17849,-99999.99,22.1635,0.71906,-99999.99,8.98039,10.69169,3.05505,4.61489,11.40958,19.72877,12.96489,1.01601,22.71174,9.58789
6823,HKT Trust and HKT Ltd,52.30946,0.3355,0.38498,0.75785,0.68907,1.43851,16.76792,110.9279,5.57091,15.82032,23.25167,0.69651,7.75882,5.01667,6.08936,5.30775,-2.90818,3.43165,113.7371
