stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual
8001,Orient Securities Intl Holdings Ltd,-99999.99,0.09719,0.04973,10.81587,0.00966,-99999.99,-99999.99,0.98336,19.38318,12.00967,22.64368,-99999.99,0.63251,6.0691,1.32992,1.16727,0.72644,-99999.99,2.7589
8003,Great World Company Holdings Limited,2.03292,1.19555,0.00478,1.74493,-0.01337,-99999.99,4.90227,2.56384,-6.36121,-9.33863,-8.85309,1.1713,8.84883,-99999.99,-24.20424,-11.16481,0.02851,-46.29172,4.76665
8005,Yuxing InfoTech Investment Holdings Ltd,10.92367,0.13054,0.27076,2.43609,0.02162,-99999.99,34.74741,0.03475,-99999.99,12.50676,18.76721,2.42635,2.61269,-4.25356,1.95963,1.63264,1.01618,-7.00724,6.00149
8006,Sino Splendid Holdings Ltd,46.66511,0.46625,0.28835,3.10845,-0.00691,-99999.99,-99999.99,2.39573,-99999.99,-2.48219,6.52168,-99999.99,2.80396,-3.37307,-1.5025,-1.15733,0.4369,-99999.99,3.79448
8007,Global Strategic Group Ltd,-99999.99,-99999.99,0.05102,0.53263,-99999.99,-99999.99,-99999.99,28.44411,-99999.99,-99999.99,-99999.99,0.52928,-99999.99,-99999.99,-99999.99,-99999.99,-1.71394,-99999.99,83.39156
8009,Chinese Energy Holdings Ltd,2.01112,0.93629,1.96747,22.4028,-0.00497,-99999.99,-99999.99,0.08085,4.59598,-0.07899,0.71818,-99999.99,2.04196,-99999.99,-0.07649,-0.07396,6.27894,-99999.99,2.58709
8011,Polyard Petroleum International Grup Ltd,-99999.99,0.0,0.0001,0.19963,-0.03017,-99999.99,-99999.99,0.0,-0.16915,-99999.99,-99999.99,-99999.99,-99999.99,-33.02263,-106.503,-33.54831,0.00138,74.27922,3754.013
8013,ECI Technology Holdings Ltd,28.72951,1.40491,0.01599,4.08355,0.00055,-99999.99,-99999.99,2.92826,4.94972,0.91811,1.47191,-99999.99,2.97114,-99999.99,1.61206,1.28987,0.03252,-99999.99,18.68372
8015,China Trends Holdings Limited,2.94262,1.24838,0.00077,11.27434,-9e-05,-99999.99,-99999.99,0.0,-1.65917,-2.5766,-2.53199,-99999.99,3.75694,-1.45348,-3.43007,-3.21659,0.0023,-99999.99,0.41904
8017,TradeGo FinTech Ltd,71.05074,0.7031,0.11747,3.03806,0.02741,-99999.99,-99999.99,2.98833,-99999.99,25.16797,26.00143,-99999.99,16.32246,-99999.99,24.19619,17.69555,0.09517,-99999.99,6.61879
8018,Finsoft Financial Investment Holdngs Ltd,71.73374,0.29127,0.0782,4.68999,-0.01206,-99999.99,-99999.99,0.0,0.45803,-21.67955,10.51393,4.67934,5.46089,-99999.99,-7.6255,-6.31456,0.14299,-99999.99,0.0
8019,Hao Wen Holdings Limited,57.35035,0.15082,0.02588,20.93318,-0.13374,-99999.99,-99999.99,12.15795,-1.21893,-40.13795,-34.74986,-99999.99,3.01588,-7.14674,-6.0946,-6.05375,1.89402,76.44336,12.17949
8020,Unitas Holdings Ltd,11.7571,0.72692,0.00053,1.7518,-0.01598,-99999.99,-99999.99,9.89224,-18.8507,-79.819,-79.12206,1.73928,2.06362,-99999.99,-87.46431,-58.02184,0.00979,-23.42159,77.84567
8021,WLS Holdings Ltd,42.11488,0.18233,0.00703,1.64021,-0.00718,-99999.99,199.8985,0.77023,-1.16034,-75.26377,-74.68391,1.63799,3.38147,-13.72283,-17.65582,-13.72283,0.03742,26.43919,28.96682
8022,Evershine Group Holdings Ltd,57.76614,0.00993,0.00045,0.31855,-0.05117,-99999.99,0.08084,80.84312,-1.1187,-2707.417,-2017.074,0.10575,2.48052,-25.19359,-47.27179,-26.89507,0.00234,31.91441,433.2522
8023,Kwong Man Kee Group Ltd,30.91783,0.80191,0.03269,2.38159,0.01035,-99999.99,5.09387,0.0977,25.0439,6.45702,8.35065,1.9721,2.91281,-99999.99,7.26824,5.17796,0.14181,-99999.99,12.69748
8025,Asian Capital Resources (Holdings) Ltd.,71.17457,0.17355,0.03133,0.07473,-0.31937,-99999.99,-99999.99,-99999.99,-0.47352,-312.6347,-255.1506,-99999.99,1.27854,-60.71277,-455.8513,-54.25749,-0.69209,-99999.99,-99999.99
8026,China Brilliant Global Ltd,4.53755,0.86416,0.03854,10.82437,-0.02627,-99999.99,10.22732,2.56347,-23.34084,-36.0197,-31.25815,9.78699,133.5092,-99999.99,-35.72175,-31.12677,0.06097,39.35773,6.67743
8027,KPM Holding Ltd,23.37925,0.48607,0.34048,6.04878,-0.07083,-99999.99,26.01782,23.36955,-99999.99,-18.66705,-18.85421,5.95783,4.36106,-15.6668,-10.18801,-9.07354,0.5855,70.61793,27.22083
8028,Timeless Software Ltd.,22.4439,0.53132,0.01797,2.1834,-0.02195,-99999.99,6.13087,0.00702,0.37391,-97.9187,-88.46137,1.87676,150.7679,-99999.99,-120.7319,-52.0266,0.01067,-21.31387,35.47746
8029,Sun International Group Ltd,93.20404,0.1622,0.05088,1.77607,-0.03049,-99999.99,208.2813,168.3694,0.13044,-61.67345,-30.80664,1.77601,3.12464,-99999.99,-25.01773,-10.00356,0.04186,-9.84624,194.4521
8030,Flying Financial Service Holdings Ltd,-99999.99,0.08037,0.01123,1.50257,-0.44591,-99999.99,-99999.99,1.82105,-0.00545,-669.8553,-668.2211,-99999.99,0.8861,-67.19197,-63.05074,-53.83409,0.49339,-21.09124,2.80434
8031,ETS Group Ltd,-99999.99,0.77763,0.20678,3.44669,0.02711,-99999.99,-99999.99,1.63819,5.21817,5.73629,7.33226,-99999.99,3.003,1.89404,6.40134,4.4607,0.38854,21.407,8.55492
8032,Viva China Holdings Ltd,19.71331,0.12591,0.07324,3.64776,0.07409,-99999.99,1.71237,47.17441,-99999.99,132.2558,97.65681,2.75519,2.15541,17.33708,17.91626,16.6527,0.29304,210.3098,47.68277
8033,Vodatel Networks Holdings Limited,22.60007,1.46888,0.10459,1.82611,-0.00855,-99999.99,16.45979,0.50867,-99999.99,-1.38626,-1.85644,1.65145,3.41353,-2.35258,-3.57914,-2.03625,0.33051,-7.3468,1.30492
8035,Janco Holdings Ltd,8.0006,1.33218,0.0442,0.50356,-0.03012,-99999.99,-99999.99,39.16997,-4.42167,-4.36555,-2.83058,0.50356,4.31316,-2.93522,-24.94526,-5.81568,0.07528,138.2128,431.4883
8036,eBroker Group Ltd,99.84646,0.88089,0.03819,7.24765,0.00087,-99999.99,2.66667,4.25576,-99999.99,2.28961,4.45277,7.24765,8.21651,-0.6526,2.46173,2.01689,0.04358,-99999.99,8.53017
8037,China Biotech Services Holdings Ltd,38.08559,0.15699,0.04829,1.60797,-0.10287,-99999.99,10.60515,2.10414,-99999.99,-181.5162,-193.4492,1.54424,4.78981,-25.93226,-32.28978,-28.49704,0.08104,17.28977,14.59446
8039,KNK Holdings Ltd,-19.21488,0.68363,0.02667,1.13053,-0.08214,-99999.99,-99999.99,5.61122,-6.00253,-115.296,-97.88777,-99999.99,3.69077,-99999.99,-110.8764,-78.82002,0.02626,-99999.99,156.5039
8040,DCB Holdings Ltd,3.79163,1.62243,0.09854,3.01178,-0.01547,-99999.99,-99999.99,0.56254,-40.70085,-2.10689,-1.93624,-99999.99,2.24165,-99999.99,-5.33993,-3.41828,0.27442,-99999.99,1.58399
8041,Luxey International (Holdings) Ltd,-1.78558,1.07463,0.05519,4.33001,-0.00451,-99999.99,33.96581,0.0,-99999.99,-7.15446,-7.19543,4.20315,3.303,-99999.99,-9.73786,-7.68839,0.10725,-99999.99,0.0
8042,KOS International Holdings Ltd,-99999.99,1.54816,0.03742,4.95248,0.00219,-99999.99,-99999.99,3.91493,4.09942,2.16268,3.46721,-99999.99,7.78626,2.6794,4.27827,3.34817,0.05096,-99999.99,9.54939
8043,Atlinks Group Ltd,26.14702,1.07764,0.05715,1.27957,-0.03865,-99999.99,3.06637,6.08287,-2.97133,-5.34801,-5.12726,0.88129,3.35221,-1.22297,-14.3796,-5.7632,0.09346,-99999.99,129.3756
8045,Jiangsu Nandasoft Technology Co Ltd,13.76053,0.33252,0.04622,1.28592,-0.03593,-99999.99,7.57333,132.0379,-0.0815,-26.16269,-27.20819,1.18719,4.35391,-8.37141,-16.78934,-8.69971,0.0667,6.63416,132.4127
8047,China Ocean Group Development Ltd,10.54854,0.4848,0.00069,3.51832,0.0057,-99999.99,1.99783,4.85844,2.10272,2.75115,5.97966,3.51747,1.25947,-99999.99,1.73315,1.33377,0.25955,140.301,16.28864
8048,Yu Tak International Holdings Ltd,69.06246,0.67452,0.01335,4.92524,-0.00779,-99999.99,0.50807,0.16657,-4.65287,-14.93928,-12.25683,2.64115,7.17767,-8.17335,-12.88616,-10.07681,0.06072,-30.17379,0.55634
8049,Jilin Provnc Hnn Chnglng Bio-pharm CoLtd,83.35106,0.40039,1.67907,3.60666,0.29603,-99999.99,2.09614,0.03956,-99999.99,22.40739,27.1587,3.47738,2.53547,8.73592,11.75219,8.97159,2.53338,-23.26006,0.18974
