stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual,invalid_rate,mahalanobis_distance
9986,Dashan Education Holdings Ltd,0.324082552393312,0.215554445805962,-0.244798783964231,-0.230857848738585,-0.050500553391753,0,-0.070279869360417,1.05448234420191,-0.03930093557866,0.129276799381013,0.120503952247345,-0.215553552588248,41.8987037221518,0,0.307668530933634,0.178520090540689,-0.251027433276445,0,0.3739256388588,0.166666666666667,42.8620387797374
1161,Water Oasis Group Limited,1.91506365915422,0.213994248742062,-0.223121567426205,-0.262785324341747,-0.014686911863399,-0.077080983152643,-0.115143284537795,-0.221057079134423,34.0523354446739,0.131122420243727,0.121230854078863,-0.278818297575725,-0.045316678355553,0.165064999339868,0.480201728049221,0.189424862005416,-0.240401005152751,-0.586188380498655,-0.220273509257124,0,42.5462184826714
768,UBA Investments Limited,0,-0.930610894394144,-0.307306278003118,35.9681019858836,-0.121563842093684,-0.081444249309681,0,-0.239700496238611,-0.058256165668585,-1.52757229462781,-1.58642284880178,0,-0.073486937066358,-0.26792809635907,-0.237404390426691,-0.281020710519998,-0.25662676261823,0,-0.230788063867323,0.222222222222222,42.4388210332614
1073,Da Yu Financial Holdings Ltd,0,-0.972959100414294,-0.317248539156827,-0.352789420177906,-0.179019384647509,-0.078827081496793,0,0,-0.075776333406643,0,0,0,0,3.77946829367918,0,-6.07325512064891,-0.944706643319619,-0.292298709486892,0,0.5,42.0086471530226
3335,DBA Telecommunication (Asia)Holdings Ltd,0,-0.972959100414294,-0.32250208046864,-0.353107838969444,-0.107027164067122,0,0,0,0,0,0,0,0,-36.2565811471923,0,-37.4142323588254,-0.286310245499308,0,0,0.666666666666667,38.885085455737
1938,Chu Kong Ptrlm&Ntrl Gs Stl Pipe Hldg Ltd,-0.546042687724835,-0.781144015672498,-0.310856584385458,-0.234934522299067,-0.18924869402337,-0.065622460232074,-0.116511343063679,35.4722548414761,-0.05915305486405,0.093969778958047,0.119761749226897,-0.343910672498245,-0.070830283649546,0.05438598716012,0.078084069262776,0.052521329716219,-0.25853609340559,-0.390374880108698,19.7225002896614,0,37.241940104901
1675,AsiaInfo Technologies Ltd,0.092304790975231,0.121318543146386,0.178783990499202,-0.198041311348297,0.255466384074892,0.349842041695449,29.1936951689196,-0.234441506433714,0.0200467042808,0.12123456949458,0.111077260908002,-0.150237344336604,-0.072318256781139,0.155320524320636,0.224442832352192,0.125452848927318,-0.04224218276318,0,-0.193538776236768,0.055555555555556,33.7864415902654
158,Melbourne Enterprises Limited,1.6541258325105,-0.937802659907741,1.78649743560591,0.09027492088667,-12.2413159428914,0,0,-0.239700496238611,-0.057694118949887,-0.23523314206444,-0.2397580226285,0,-0.038528069470771,-0.132229188294075,0.047267566504032,0.007621563466306,25.8660565617734,0,-0.230788063867323,0.222222222222222,32.8968142953321
9996,Peijia Medical Ltd,0.982771906263028,-0.920224439654465,-0.094205452177322,0.914913396383216,-28.7929467422414,0,-0.115657609495272,0,-0.059355592761238,-3.96160675527659,-1.68424629837183,1.80664504393448,-0.074570320187284,0,-1.06377334359286,-1.01406229851489,-0.401396829194155,0,0,0.277777777777778,32.1019139085718
1104,APAC Resources Limited,0.598372839324029,-0.927490500266343,-0.14885631465173,15.0715435246793,0.274006316149089,-0.157377750543501,0,-0.239700496238611,-0.057363042189738,0.908413905752919,0.549425075867577,26.4772178031678,-0.063614901747465,0.324166950105469,0.29014685301417,0.251859264759815,-0.028844168362525,0,-0.230788063867323,0.111111111111111,30.2505537728905
67,China Lumena New Materials Corp,0,-0.972959100414294,-0.31784318039379,-0.352960613076583,-0.280483074943216,0,0,0,-0.058204724898505,0,0,-0.428967337565152,0,-27.1454039501562,0,-29.049323238322,-2.49424515591042,-0.297337141533869,0,0.5,29.4680393867831
482,Sandmartin International Holdings Ltd.,-0.576936125209576,0.521338211310758,-0.318927216631085,-0.266850585042318,-0.176658349456431,0,-0.110931930555341,1.96121802291555,-0.090803506654119,0.052818819747803,0.040857126826255,-0.324480296716906,-0.070350563207302,-0.294597076442219,-1.86074967729475,-0.369511026778255,-0.263255396122374,-0.192450744422883,21.8575298391523,0.055555555555556,29.2041263677252
612,China Ding Yi Feng Holdings Ltd,0,-0.969675257070275,-0.275774505508575,-0.118083956092464,-0.214329854741699,0,0,0.471788799645712,-0.058999291105078,-27.138037943305,-26.3189154799819,0,0,-0.14052253991944,-0.557102587436625,-0.382369323952501,-0.258674708261709,0,0.446507871474011,0.333333333333333,28.6783074100606
479,CIL Holdings Limited,-1.05159983701909,0.221765516022251,-0.32085497686537,-0.22899983514495,-0.10937714054536,-0.074531125253249,3.82171097497248,15.2662957543823,-0.059540887640224,0.050794587643813,0.050221410440089,-0.205959522187655,-0.070722826454289,-0.209576134210307,-1.09734558931884,-0.293795867528133,-0.262953286820577,-0.221910911918955,26.7546158000171,0,28.04745198228
8165,Jian ePayment Systems Ltd,2.15905430949746,-0.967921892750844,-0.322461736077931,-0.299053110569353,-0.106695402681958,0,0,0,-0.10257965926809,-25.7586787412167,-26.5749573307859,0,-0.075312388284874,0,-1.17840772908868,-0.58777949489593,-0.263269613030694,0,0,0.388888888888889,27.4634158056865
