0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,CK Hutchison Holdings Ltd,0.7068995758337366,-0.6092400172700009,5.915047691242622,-0.19781876058001707,5.608900799620328,2.6863077182823583,-0.1100654302751322,0.1772944510218377,-0.04052891955205677,0.13387844738290713,0.1251174587595279,-0.18056162664087802,-0.059794220618032676,0.1064547732009667,0.16401458614366055,0.11095813872874397,-1.5102033645690889,0.8229930392789174,-0.030566145076377997,0.0,9.223896376597315
2,CLP Holdings Limited,0.0,-0.4097428193659532,0.25556638243309315,-0.2718574066856087,0.9170151741593208,0.40224874846001546,-0.08964843375736849,-0.05452631596657136,0.0,0.12061848453899555,0.1091813658466972,-0.2957762391528014,-0.06679776686899741,0.13016505023766778,0.14296082820510853,0.09630680318498047,2.2476503607303755,-0.4216619767117377,-0.12658569967134325,0.1111111111111111,2.6871372059482197
3,The Hong Kong and China Gas Company Ltd.,0.39354771708138897,-0.5309627017211761,-0.24159228195488386,-0.2653714783977528,0.11451755958836014,-0.13730355869578675,-0.10583200103664064,-0.014825595365753012,0.0,0.1395964263792097,0.12884535944993342,-0.2899175557767539,-0.06268150378168909,0.1229786779613399,0.1921651508472559,0.13273549836808954,-0.017757112409265818,-0.26398212987190856,-0.10634346966875308,0.05555555555555555,0.9692077682720646
4,Wharf Holdings Ltd,0.8824560709138357,-0.8661673261452345,1.2476174089136003,-0.1757474307966552,0.5120395806471754,0.7844621531218369,-0.11680914211002995,-0.10934202027484753,0.0,0.14044394580924452,0.16449949158442478,-0.30176840111961045,-0.016314976201948432,0.06811702263582894,0.1279896097891229,0.08485716861873557,3.0610593967256685,-0.5125392397142816,-0.16033482810438038,0.05555555555555555,3.464239941008514
5,HSBC Holdings plc (Hong Kong),0.0,0.0,14.953284016684787,0.0,1.1666932632766314,0.0,0.0,0.5343577995423282,0.0,0.12723849539674928,0.1215833829091397,0.0,0.0,0.07200065179188841,0.0,0.07254502187761215,4.1791538383059805,-0.2457027977208987,0.3062988205877508,0.5,15.888426649038399
6,Power Assets Holdings Ltd,0.0,-0.9513095087752208,0.07824401474988624,-0.22079741272636427,1.7452574722189365,-0.7984571636872914,0.0,-0.21942828639429732,0.0,0.8682904371617242,0.28762774813085,0.0,3.0217956075874035,0.13514422193160638,0.19353694729270596,0.1517007893954836,2.5844645574274905,-0.6988695777646421,-0.2223416794899387,0.2222222222222222,6.1658094262974705
7,Hong Kong Finance Investment Hldg Grp Ld,-0.9543345920966588,-0.7893016174637479,-0.32159696283361633,0.06888608012603156,-0.008527208812204742,-0.08208963259788139,-0.11664525719407012,-0.2280300822281181,0.0,0.2912701950669213,0.35815023840036203,-0.3236937997898027,-0.07207461131885404,0.23313170079885276,0.2954573872512392,0.2359744509838686,-0.1977915092272376,0.3780928076476359,-0.20415636679556406,0.05555555555555555,1.9090003488380256
8,PCCW Ltd,0.5013316267622792,-0.3955821736336013,-0.1902128233357443,-0.2069353530775348,-0.05339240679909118,0.4139923486612622,-0.10701072798702248,1.6485922067174843,-0.050847613710059546,0.12195562810026275,0.1185131399354414,-0.19959772720027505,-0.0695362940756954,0.09341701642342416,0.14677352216128187,0.1008871290330667,-0.4115583644157893,-0.19635325632360734,0.5958567736470176,0.0,2.160901073367797
9,Keyne Ltd,0.02107171159359231,-0.9511609185786588,-0.3223722767767954,-0.2153215225406996,-0.14709841003840154,-0.08025642730685736,-0.11696314831792595,0.2314349664392824,-0.058687691568206975,-0.9278934622444835,-0.6317138944047324,-0.4205068484276422,1.0711327470242935,-0.052366455836222285,-0.08739320873597974,-0.045181989723452116,-0.2490690541553817,-0.0020806055052317095,0.19961131968259888,0.0,2.979338753145879
10,Hang Lung Group Limited,1.2744640137269296,-0.9048750723496174,0.14899579732484075,-0.25006455068409383,2.6656796711461115,-0.2935615431671984,-0.11621537845747056,-0.07870056233556902,0.0,0.3017997693653152,0.37252939499610543,-0.3342180732921662,-0.07035127545298331,0.09471925333022267,0.21150046537967387,0.13451426881232595,4.441415989464477,-0.4188050152252842,-0.15600143111551293,0.05555555555555555,5.858653840603466
11,Hang Seng Bank Ltd,0.0,0.0,8.291753288914839,0.0,6.960734445100727,12.13115559153194,0.0,-0.1786095222939293,0.0,0.16470582858889585,0.15996639333352955,0.0,0.0,0.08376944238599975,0.0,0.08539731150437156,5.5691239044506915,0.2417321846906165,-0.20307597741509745,0.4444444444444444,18.695431663675297
12,"Henderson Land Development Co., Ltd.",0.6087174760078866,-0.8927798303494763,0.12339640436837895,-0.10480737615710772,1.8388307709041816,-0.9906269667107288,-0.11684650023563145,-0.13781314620053034,0.0,0.21192400137444228,0.16099971504344926,-0.3312671696779425,-0.0023094000940508145,0.09978846391927404,0.15528079431039465,0.10981134082458334,4.444517408014457,-0.028528083471655686,-0.16841249454891044,0.05555555555555555,5.296155891947182
14,Hysan Development Company Limited,1.7169006211057254,-0.9085749682440096,1.24570543561481,0.09599276370246404,2.4584891567553524,0.3218450770889029,0.0,-0.1592936299967239,0.0,0.2935717992484124,0.21920954543342416,0.0,-0.05760150336013445,0.06532508909025922,0.17024271527665755,0.1282801509632538,5.024957521598954,-0.07449231993934716,-0.19573624648350788,0.16666666666666666,5.659457170487117
