stock_code,company_name,annual_gross_margin,asset_turnover_annual,cash_share_annual,current_ratio_annual,eps_basic_excl_extra_annual,fcf_share_ttm,inventory_turnover_annual,lt_debt_equity_annual,net_interest_coverage_annual,net_profit_margin_annual,operating_margin_annual,quick_ratio_annual,receivables_turnover_annual,roe_ttm,roi_annual,roa_rfy,tangible_book_annual,total_debt_cagr_5y,total_debt_equity_annual,invalid_rate
1,CK Hutchison Holdings Ltd,0.7068995758337366,-0.6092400172700009,5.915047691242622,-0.19781876058001707,5.6089007996203275,2.6863077182823583,-0.1100654302751322,0.1772944510218377,-0.04052891955205677,0.13387844738290713,0.1251174587595279,-0.180561626640878,-0.059794220618032676,0.1064547732009667,0.16401458614366057,0.11095813872874395,-1.5102033645690889,0.8229930392789174,-0.030566145076378,0.0
2,CLP Holdings Limited,0.0,-0.4097428193659532,0.25556638243309315,-0.2718574066856087,0.9170151741593209,0.40224874846001546,-0.08964843375736849,-0.054526315966571356,0.0,0.12061848453899555,0.10918136584669719,-0.2957762391528014,-0.06679776686899741,0.13016505023766778,0.14296082820510853,0.09630680318498047,2.2476503607303755,-0.42166197671173766,-0.12658569967134325,0.1111111111111111
3,The Hong Kong and China Gas Company Ltd.,0.39354771708138897,-0.530962701721176,-0.24159228195488386,-0.26537147839775277,0.11451755958836017,-0.13730355869578675,-0.10583200103664064,-0.014825595365753013,0.0,0.1395964263792097,0.12884535944993342,-0.2899175557767539,-0.06268150378168909,0.1229786779613399,0.1921651508472559,0.13273549836808954,-0.017757112409265818,-0.26398212987190856,-0.10634346966875308,0.05555555555555555
4,Wharf Holdings Ltd,0.8824560709138357,-0.8661673261452345,1.2476174089136005,-0.1757474307966552,0.5120395806471754,0.7844621531218369,-0.11680914211002996,-0.10934202027484752,0.0,0.14044394580924452,0.16449949158442478,-0.30176840111961045,-0.01631497620194843,0.06811702263582894,0.1279896097891229,0.08485716861873557,3.0610593967256685,-0.5125392397142816,-0.16033482810438038,0.05555555555555555
5,HSBC Holdings plc (Hong Kong),0.0,0.0,14.953284016684787,0.0,1.1666932632766314,0.0,0.0,0.5343577995423282,0.0,0.12723849539674928,0.1215833829091397,0.0,0.0,0.07200065179188841,0.0,0.07254502187761215,4.1791538383059805,-0.24570279772089867,0.3062988205877508,0.5
6,Power Assets Holdings Ltd,0.0,-0.9513095087752207,0.07824401474988624,-0.22079741272636427,1.7452574722189365,-0.7984571636872914,0.0,-0.21942828639429734,0.0,0.868290437161724,0.28762774813084996,0.0,3.021795607587404,0.13514422193160638,0.19353694729270593,0.1517007893954836,2.584464557427491,-0.698869577764642,-0.2223416794899387,0.2222222222222222
7,Hong Kong Finance Investment Hldg Grp Ld,-0.9543345920966587,-0.7893016174637479,-0.32159696283361633,0.06888608012603156,-0.008527208812204742,-0.08208963259788139,-0.11664525719407011,-0.22803008222811813,0.0,0.29127019506692126,0.35815023840036203,-0.32369379978980267,-0.07207461131885404,0.23313170079885273,0.2954573872512392,0.2359744509838686,-0.19779150922723757,0.37809280764763586,-0.20415636679556406,0.05555555555555555
8,PCCW Ltd,0.5013316267622792,-0.39558217363360126,-0.1902128233357443,-0.20693535307753477,-0.05339240679909118,0.4139923486612622,-0.10701072798702249,1.6485922067174845,-0.050847613710059546,0.12195562810026274,0.11851313993544141,-0.19959772720027502,-0.0695362940756954,0.09341701642342416,0.14677352216128187,0.1008871290330667,-0.4115583644157893,-0.19635325632360737,0.5958567736470176,0.0
9,Keyne Ltd,0.021071711593592307,-0.9511609185786587,-0.3223722767767954,-0.21532152254069956,-0.14709841003840154,-0.08025642730685736,-0.11696314831792597,0.23143496643928238,-0.05868769156820698,-0.9278934622444835,-0.6317138944047324,-0.4205068484276422,1.0711327470242937,-0.052366455836222285,-0.08739320873597974,-0.045181989723452116,-0.24906905415538175,-0.0020806055052317095,0.19961131968259888,0.0
10,Hang Lung Group Limited,1.2744640137269296,-0.9048750723496174,0.14899579732484075,-0.25006455068409383,2.6656796711461115,-0.2935615431671984,-0.11621537845747057,-0.07870056233556903,0.0,0.30179976936531516,0.37252939499610543,-0.3342180732921662,-0.07035127545298331,0.09471925333022267,0.21150046537967387,0.13451426881232595,4.441415989464476,-0.4188050152252842,-0.15600143111551293,0.05555555555555555
11,Hang Seng Bank Ltd,0.0,0.0,8.291753288914837,0.0,6.960734445100726,12.13115559153194,0.0,-0.1786095222939293,0.0,0.16470582858889585,0.15996639333352955,0.0,0.0,0.08376944238599975,0.0,0.08539731150437156,5.569123904450691,0.24173218469061655,-0.20307597741509742,0.4444444444444444
12,"Henderson Land Development Co., Ltd.",0.6087174760078866,-0.8927798303494763,0.12339640436837897,-0.10480737615710771,1.8388307709041818,-0.9906269667107289,-0.11684650023563145,-0.13781314620053037,0.0,0.21192400137444228,0.16099971504344926,-0.3312671696779425,-0.0023094000940508145,0.09978846391927405,0.15528079431039463,0.10981134082458334,4.444517408014457,-0.02852808347165569,-0.16841249454891044,0.05555555555555555
14,Hysan Development Company Limited,1.7169006211057254,-0.9085749682440095,1.24570543561481,0.09599276370246405,2.4584891567553524,0.3218450770889029,0.0,-0.1592936299967239,0.0,0.29357179924841237,0.21920954543342416,0.0,-0.057601503360134455,0.06532508909025923,0.17024271527665755,0.1282801509632538,5.024957521598954,-0.07449231993934716,-0.19573624648350788,0.16666666666666666
